,word,frequency
0,I,31
1,you,26
2,a,19
3,the,16
4,ll,16
5,s,13
6,it,12
7,m,10
8,tell,9
9,insane,8
10,love,8
11,t,7
12,And,7
13,Cause,7
14,re,7
15,and,6
16,can,6
17,gonna,6
18,Or,6
19,Got,6
20,long,6
21,list,6
22,of,6
23,ex-lovers,6
24,They,6
25,we,6
26,You,5
27,your,5
28,mm,5
29,leave,5
30,my,4
31,like,4
32,game,4
33,know,4
34,me,4
35,So,4
36,be,4
37,this,4
38,over,4
39,with,4
40,nasty,4
41,scar,4
42,But,4
43,baby,4
44,say,4
45,didn,4
46,to,3
47,forever,3
48,go,3
49,down,3
50,in,3
51,flames,3
52,when,3
53,If,3
54,high,3
55,was,3
56,worth,3
57,pain,3
58,players,3
59,young,3
60,reckless,3
61,We,3
62,take,3
63,way,3
64,too,3
65,far,3
66,It,3
67,breathless,3
68,ve,3
69,got,3
70,blank,3
71,space,3
72,write,3
73,name,3
74,want,3
75,oh,3
76,could,2
77,show,2
78,incredible,2
79,things,2
80,Oh,2
81,God,2
82,look,2
83,that,2
84,make,2
85,for,2
86,is,2
87,come,2
88,Boys,2
89,only,2
90,if,2
91,torture,2
92,Don,2
93,warn,2
94,ya,2
95,Nice,1
96,meet,1
97,where,1
98,been,1
99,Magic,1
100,madness,1
101,heaven,1
102,sin,1
103,Saw,1
104,there,1
105,thought,1
106,at,1
107,face,1
108,next,1
109,mistake,1
110,Love,1
111,wanna,1
112,play,1
113,Ay,1
114,New,1
115,money,1
116,suit,1
117,tie,1
118,read,1
119,magazine,1
120,Ain,1
121,funny,1
122,Rumors,1
123,fly,1
124,heard,1
125,about,1
126,hey,1
127,let,1
128,friends,1
129,dying,1
130,see,1
131,how,1
132,one,1
133,ends,1
134,Grab,1
135,passport,1
136,hand,1
137,bad,1
138,guys,1
139,good,1
140,weekend,1
141,Cherry,1
142,lips,1
143,crystal,1
144,skies,1
145,Stolen,1
146,kisses,1
147,pretty,1
148,lies,1
149,King,1
150,Queen,1
151,Find,1
152,out,1
153,what,1
154,Be,1
155,girl,1
156,month,1
157,Wait,1
158,worst,1
159,yet,1
160,no,1
161,Screaming,1
162,crying,1
163,perfect,1
164,storms,1
165,all,1
166,tables,1
167,turn,1
168,Rose,1
169,garden,1
170,filled,1
171,thorns,1
172,Keep,1
173,second,1
174,guessing,1
175,who,1
176,she,1
177,get,1
178,drunk,1
179,on,1
180,jealousy,1
181,back,1
182,each,1
183,time,1
184,darling,1
185,nightmare,1
186,dressed,1
187,daydream,1
188,ooh,1
