country,avg gdp pc
Luxembourg,130848
Ireland,106576
Norway,98831
Switzerland,94798
Singapore,80243
Qatar,79579
United States,75206
Iceland,72405
Denmark,67949
Australia,65457
Netherlands,58318
Austria,54258
Israel,54769
Sweden,57333
Finland,52864
Belgium,51375
Canada,53267
Hong Kong,50224
Germany,50296
Macau,41915
United Arab Emirates,48835
New Zealand,48633
United Kingdom,46254
France,43200
Andorra,42815
Puerto Rico,35497
Malta,34857
Italy,35516
Bahamas,31465
Japan,36283
Brunei,34568
Cyprus,32457
Kuwait,36343
South Korea,33529
Slovenia,30269
Czech Republic,28605
Spain,30210
Estonia,29178
Saudi Arabia,27848
Bahrain,28367
Lithuania,25588
Portugal,24979
Latvia,22751
Slovakia,22035
Greece,21299
Oman,22175
Uruguay,19928
Barbados,19443
Guyana,16509
Croatia,18644
Poland,18656
Trinidad and Tobago,18038
Seychelles,15832
Hungary,18859
Romania,16373
Antigua and Barbuda,17412
Saint Kitts and Nevis,18705
Chile,16483
Maldives,13270
Panama,16442
Bulgaria,13624
Costa Rica,13468
Russia,14002
China,12959
Argentina,12719
World,12791
Malaysia,12152
Mexico,11270
Kazakhstan,11202
Saint Lucia,11190
Turkey,10736
Nauru,12043
Mauritius,10212
Dominican Republic,9969
Montenegro,10145
Grenada,10034
Serbia,9629
Equatorial Guinea,8145
Brazil,8699
Saint Vincent and the Grenadines,8975
Gabon,8675
Dominica,8377
Bosnia and Herzegovina,7650
Thailand,7386
Armenia,6663
Belarus,7657
Peru,7173
Georgia,6401
North Macedonia,6859
Botswana,7271
Albania,6752
Belize,6738
Libya,6423
Azerbaijan,6597
Ecuador,6333
South Africa,6772
Colombia,6384
Moldova,5458
Jamaica,5838
Iraq,5601
Tuvalu,5571
Fiji,5284
Paraguay,5952
Kosovo,5552
Suriname,5558
Guatemala,5238
El Salvador,4995
Marshall Islands,6001
Namibia,4949
Jordan,4437
Indonesia,4712
Mongolia,4757
Ukraine,4595
Algeria,4152
Vietnam,4132
Samoa,4033
Micronesia,3883
Cape Verde,3825
Iran,5135
Eswatini,4052
Tunisia,3885
Philippines,3622
Djibouti,3429
Bolivia,3556
Morocco,3710
Egypt,3946
Papua New Guinea,3070
Palestine,3603
Sri Lanka,3545
Honduras,3030
Angola,2820
Vanuatu,3090
São Tomé and Príncipe,2528
Ivory Coast,2557
India,2421
Nicaragua,2297
Congo,2411
Uzbekistan,2283
Mauritania,2277
Bangladesh,2536
Solomon Islands,2269
Nigeria,2161
Kenya,2150
Haiti,1862
Ghana,2203
Kiribati,1819
Cambodia,1764
Laos,2172
Zimbabwe,1542
Kyrgyzstan,1561
Senegal,1652
Cameroon,1652
Pakistan,1578
Guinea,1422
Ethiopia,1109
Timor-Leste,1767
Zambia,1335
Benin,1351
Nepal,1291
Comoros,1492
Tanzania,1225
Tajikistan,1076
Lesotho,1118
Myanmar,1122
Uganda,1000
Togo,951
Sudan,954
Guinea-Bissau,836
Rwanda,919
Burkina Faso,875
Mali,866
Gambia,824
Liberia,677
DR Congo,611
Chad,780
Niger,579
Mozambique,540
Yemen,517
Somalia,484
Madagascar,514
Central African Republic,474
Malawi,585
Sierra Leone,460
Burundi,266
